"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CEPH-Rtrend_fluH"
"3","CMU-TimeSeries"
"4","CU-ensemble"
"5","GT-FluFNP"
"6","ISU_NiemiLab-Flu"
"7","JHU_IDD-CovidSP"
"8","LosAlamos_NAU-CModel_Flu"
"9","LUcompUncertLab-hier_mech_model"
"10","LUcompUncertLab-humanjudgment"
"11","MIGHTE-Nsemble"
"12","MOBS-GLEAM_FLUH"
"13","NIH-Flu_ARIMA"
"14","PSI-DICE"
"15","SGroup-RandomForest"
"16","SigSci-CREG"
"17","SigSci-TSENS"
"18","UGA_flucast-OKeeffe"
"19","UGuelph-FluPLUG"
"20","UMass-gbq"
"21","UMass-trends_ensemble"
"22","UNC_IDD-InfluPaint"
"23","UVAFluX-Ensemble"
"24","VTSanghani-ExogModel"
