"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CEID-Walk"
"3","CEPH-Rtrend_fluH"
"4","CMU-TimeSeries"
"5","CU-ensemble"
"6","GT-FluFNP"
"7","ISU_NiemiLab-Flu"
"8","JHU_IDD-CovidSP"
"9","LosAlamos_NAU-CModel_Flu"
"10","LUcompUncertLab-humanjudgment"
"11","MIGHTE-Nsemble"
"12","MOBS-GLEAM_FLUH"
"13","NIH-Flu_ARIMA"
"14","PSI-DICE"
"15","SGroup-RandomForest"
"16","SigSci-CREG"
"17","SigSci-TSENS"
"18","UGA_flucast-OKeeffe"
"19","UMass-trends_ensemble"
"20","UNC_IDD-InfluPaint"
"21","UVAFluX-Ensemble"
