"","Model","Designated_Model"
"1","CADPH-FluCAT_Ensemble","TRUE"
"2","CEPH-Rtrend_fluH","TRUE"
"3","cfa-flumech","TRUE"
"4","cfarenewal-cfaepimlight","TRUE"
"5","CMU-TimeSeries","TRUE"
"6","CU-ensemble","TRUE"
"7","fjordhest-ensemble","TRUE"
"8","GT-FluFNP","TRUE"
"9","ISU_NiemiLab-NLH","TRUE"
"10","JHU_CSSE-CSSE_Ensemble","TRUE"
"11","LosAlamos_NAU-CModel_Flu","TRUE"
"12","LUcompUncertLab-chimera","TRUE"
"13","MIGHTE-Nsemble","TRUE"
"14","MOBS-GLEAM_FLUH","TRUE"
"15","NIH-Flu_ARIMA","TRUE"
"16","NU_UCSD-GLEAM_AI_FLUH","TRUE"
"17","PSI-PROF","TRUE"
"18","SGroup-RandomForest","TRUE"
"19","SigSci-CREG","TRUE"
"20","SigSci-TSENS","TRUE"
"21","Stevens-GBR","TRUE"
"22","UGA_flucast-Copycat","TRUE"
"23","UGA_flucast-INFLAenza","TRUE"
"24","UGuelph-CompositeCurve","TRUE"
"25","UGuelphensemble-GRYPHON","TRUE"
"26","UM-DeepOutbreak","TRUE"
"27","UMass-flusion","TRUE"
"28","UMass-trends_ensemble","TRUE"
"29","UNC_IDD-InfluPaint","TRUE"
"30","UVAFluX-Ensemble","TRUE"
"31","VTSanghani-Ensemble","TRUE"
